ticker,date,target
AMD,2021-04-20,1
BAC,2021-04-20,1
UNH,2021-04-20,1
ENPH,2021-04-20,1
MDB,2021-04-20,1
MU,2021-04-20,1
PLTR,2021-04-20,1
NFLX,2021-04-20,0
ABNB,2021-04-20,0
CRM,2021-04-20,1
QCOM,2021-04-20,1
V,2021-04-20,1
AAPL,2021-04-20,1
BLK,2021-04-20,1
JPM,2021-04-20,1
NET,2021-04-20,1
TSLA,2021-04-20,1
FSLR,2021-04-20,1
COST,2021-04-20,1
PYPL,2021-04-20,1
WMT,2021-04-21,0
ISRG,2021-04-21,0
UNH,2021-04-21,0
ENPH,2021-04-21,1
NFLX,2021-04-21,0
AVGO,2021-04-21,0
FSLR,2021-04-21,1
SNOW,2021-04-21,1
WFC,2021-04-21,0
BLK,2021-04-21,0
MA,2021-04-21,1
COST,2021-04-21,0
ABNB,2021-04-21,1
QCOM,2021-04-21,0
NET,2021-04-21,1
MU,2021-04-21,0
CRM,2021-04-21,1
SHOP,2021-04-21,0
AMD,2021-04-21,0
GS,2021-04-21,0
DXCM,2021-04-21,1
AAPL,2021-04-21,0
BAC,2021-04-21,0
MDB,2021-04-21,1
PLTR,2021-04-21,1
V,2021-04-21,1
JPM,2021-04-21,0
AMZN,2021-04-21,0
TSLA,2021-04-21,0
META,2021-04-21,0
AMAT,2021-04-21,0
TGT,2021-04-21,0
DDOG,2021-04-21,1
EBAY,2021-04-21,0
NOW,2021-04-21,1
NVDA,2021-04-21,0
MS,2021-04-21,0
GOOGL,2021-04-21,0
MSFT,2021-04-21,0
PYPL,2021-04-21,0
INTC,2021-04-21,0
MA,2021-04-22,1
ISRG,2021-04-22,1
CRM,2021-04-22,1
DDOG,2021-04-22,1
AMZN,2021-04-22,1
BLK,2021-04-22,1
GOOGL,2021-04-22,1
JPM,2021-04-22,1
GS,2021-04-22,1
NFLX,2021-04-22,0
WMT,2021-04-22,1
NOW,2021-04-22,1
UNH,2021-04-22,1
MS,2021-04-22,1
NVDA,2021-04-22,1
MSFT,2021-04-22,1
QCOM,2021-04-22,1
AVGO,2021-04-22,1
TSLA,2021-04-22,1
MDB,2021-04-22,0
BAC,2021-04-22,1
SHOP,2021-04-22,1
MU,2021-04-22,1
AAPL,2021-04-22,1
PYPL,2021-04-22,1
V,2021-04-22,1
TGT,2021-04-22,1
ENPH,2021-04-22,1
ABNB,2021-04-22,1
NET,2021-04-22,1
AMAT,2021-04-22,1
INTC,2021-04-22,0
EBAY,2021-04-22,1
WFC,2021-04-22,1
COST,2021-04-22,1
FSLR,2021-04-22,1
META,2021-04-22,1
PLTR,2021-04-22,1
SNOW,2021-04-22,1
AMD,2021-04-22,1
DXCM,2021-04-22,1
SHOP,2021-04-23,1
CRM,2021-04-23,1
MSFT,2021-04-23,1
MDB,2021-04-23,1
UNH,2021-04-23,0
NFLX,2021-04-23,1
DXCM,2021-04-23,1
AMAT,2021-04-23,1
MU,2021-04-23,1
BLK,2021-04-23,1
META,2021-04-23,1
SNOW,2021-04-23,1
WMT,2021-04-23,0
GS,2021-04-23,1
EBAY,2021-04-23,1
ENPH,2021-04-23,1
ABNB,2021-04-23,1
FSLR,2021-04-23,1
AVGO,2021-04-23,1
TSLA,2021-04-23,1
TGT,2021-04-23,0
MS,2021-04-23,1
DDOG,2021-04-23,1
AMD,2021-04-23,1
GOOGL,2021-04-23,1
V,2021-04-23,1
BAC,2021-04-23,1
COST,2021-04-23,0
NVDA,2021-04-23,1
WFC,2021-04-23,1
JPM,2021-04-23,1
AMZN,2021-04-23,1
NOW,2021-04-23,1
PYPL,2021-04-23,1
MA,2021-04-23,1
ISRG,2021-04-23,0
INTC,2021-04-23,0
PLTR,2021-04-23,1
NET,2021-04-23,1
QCOM,2021-04-23,1
AAPL,2021-04-23,1
WMT,2021-04-26,1
GOOGL,2021-04-26,0
SHOP,2021-04-26,0
DXCM,2021-04-26,1
V,2021-04-26,0
DDOG,2021-04-26,1
WFC,2021-04-26,1
INTC,2021-04-26,0
COST,2021-04-26,1
QCOM,2021-04-26,0
PYPL,2021-04-26,0
UNH,2021-04-26,0
AVGO,2021-04-26,0
BAC,2021-04-26,1
FSLR,2021-04-26,0
MS,2021-04-26,1
JPM,2021-04-26,1
CRM,2021-04-26,0
TGT,2021-04-26,1
MA,2021-04-26,1
ABNB,2021-04-26,1
MSFT,2021-04-26,1
AMAT,2021-04-26,0
MU,2021-04-26,1
META,2021-04-26,1
AMD,2021-04-26,0
BLK,2021-04-26,1
ISRG,2021-04-26,0
GS,2021-04-26,1
SNOW,2021-04-26,1
NOW,2021-04-26,1
MDB,2021-04-26,0
AMZN,2021-04-26,1
TSLA,2021-04-26,0
NVDA,2021-04-26,0
ENPH,2021-04-26,0
AAPL,2021-04-26,0
EBAY,2021-04-26,1
PLTR,2021-04-26,0
NET,2021-04-26,1
